acceptance_score,false_pos_rate,false_neg_rate
0.05,0.279678,0.00188883
0.1,0.173913,0.00458716
0.15,0.130078,0.00674582
0.2,0.103588,0.00917431
0.25,0.0851746,0.011333
0.3,0.0721074,0.0159201
0.35,0.0613368,0.021047
0.4,0.0529421,0.0237453
0.45,0.045181,0.0286023
0.5,0.0393601,0.0310308
0.55,0.0340936,0.0326498
0.6,0.0289063,0.0372369
0.65,0.0242338,0.0445224
0.7,0.0201552,0.0499191
0.75,0.0163142,0.056395
0.8,0.0126713,0.0642202
0.85,0.00966184,0.0852671
0.9,0.0067712,0.11252
0.95,0.00407856,0.172153
