acceptance_score,false_pos_rate,false_neg_rate
0.05,0.256977,0.00437788
0.1,0.15685,0.00829493
0.15,0.115657,0.0119816
0.2,0.0906605,0.0145161
0.25,0.0733417,0.0182028
0.3,0.0615973,0.0214286
0.35,0.0522367,0.0258065
0.4,0.0453653,0.0317972
0.45,0.0387042,0.0357143
0.5,0.0339714,0.0417051
0.55,0.03015,0.0453917
0.6,0.0256977,0.0525346
0.65,0.0214556,0.0612903
0.7,0.0184757,0.0721198
0.75,0.0147595,0.0827189
0.8,0.0115341,0.0997696
0.85,0.00865937,0.123502
0.9,0.00638059,0.160138
0.95,0.00392652,0.245392
